#,Eng,Urd,Categories,"Possible option for ""(..)"""
RI-01,Please keep your hands and feet inside the ride at all times.,براہ کرم ہر وقت اپنے ہاتھ پاؤں سواری کے اندر رکھیں۔,Ride instructions (RI),
RI-02,Please ensure you have fasten your seatbelt.,براہ کرم یقینی بنائیں کہ آپ نے اپنی سیٹ بیلٹ باندھ رکھی ہے۔,Ride instructions (RI),
RI-03,Please do not unbuckle your safety restraint until the ride comes to a complete stop.,براہ کرم اپنی حفاظتی پابندی کو اس وقت تک نہ کھولیں جب تک کہ سواری مکمل طور پر رک نہ جائے۔,Ride instructions (RI),
RI-04,Please do not stand up or attempt to exit the ride until it has fully come to a stop.,براہ کرم اس وقت تک کھڑے نہ ہوں یا سواری سے باہر نکلنے کی کوشش نہ کریں جب تک کہ یہ مکمل طور پر رک نہ جائے۔,Ride instructions (RI),
RI-05,Please remain seated throughout the entire ride.,براہ کرم پوری سواری میں بیٹھے رہیں۔,Ride instructions (RI),
RI-06,Hold on tight - this ride can be bumpy!,مضبوطی سے پکڑو - یہ سواری مشکل ہوسکتی ہے!,Ride instructions (RI),
RI-07,Do not throw objects from the ride.,سواری سے اشیاء نہ پھینکیں۔,Ride instructions (RI),
RI-08,Do not eat or drink on the ride.,سواری پر نہ کھائیں اور نہ پییں۔,Ride instructions (RI),
,,,,
ExI-01,Please don't touch this (item),براہ کرم اس (item) کو ہاتھ نہ لگائیں,Exhibition instructions (ExI),"painting,decoration, glass"
ExI-02,Do not tap on the glass of animal enclosures.,جانوروں کے باڑوں کے شیشے پر ٹیپ نہ کریں۔,Exhibition instructions (ExI),
ExI-03,Do not touch the animals.,جانوروں کو مت چھونا,Exhibition instructions (ExI),
ExI-04,Do not enter animal enclosures.,جانوروں کے باڑوں میں داخل نہ ہوں۔,Exhibition instructions (ExI),
ExI-05,Do not climb on animal enclosures.,جانوروں کے باڑوں پر نہ چڑھیں۔,Exhibition instructions (ExI),
ExI-06,Do not feed the animals.,جانوروں کو مت کھلایں,Exhibition instructions (ExI),
ExI-07,Do not disturb (the animals).,(جانوروں) کو پریشان نہ کریں,Exhibition instructions (ExI),"the panda, "
,,,,
GA-01,"Ladies and gentlemen, welcome to [park name].",خواتین و حضرات، [park name] میں خوش آمدید۔,General announcements (GA),
GA-02,Please be aware that the park will be closing in [number of] minutes.,براہ کرم آگاہ رہیں کہ پارک [number] منٹ میں بند ہو جائے گا۔,General announcements (GA),
GA-03,"Thank you for visiting [park name], and we hope to see you again soon!",[park name] آنے کے لیے آپ کا شکریہ، اور ہمیں امید ہے کہ جلد ہی آپ سے دوبارہ ملاقات ہوگی!,General announcements (GA),
GA-04,Please don't spit in the park.,برائے مہربانی پارک میں نہ تھوکیں۔,General announcements (GA),
GA-05,Please ask for assistance from the park staff if needed.,اگر ضرورت ہو تو پارک کے عملے سے مدد طلب کریں۔,General announcements (GA),
GA-06,Have fun and enjoy your day at the park,مزے کریں اور پارک میں اپنے دن کا لطف اٹھائیں,General announcements (GA),
GA-07,Do not use foul language or engage in inappropriate behavior.,گندی زبان استعمال نہ کریں یا نامناسب رویے میں ملوث نہ ہوں۔,General announcements (GA),
GA-08,Respect other visitors and their personal space.,دوسرے زائرین اور ان کی ذاتی جگہ کا احترام کریں۔,General announcements (GA),
GA-09,Do not use drones in the park.,پارک میں ڈرون کا استعمال نہ کریں۔,General announcements (GA),
GA-10,Keep your children seated and supervised at all times.,اپنے بچوں کو ہر وقت بٹھا کر رکھیں اور ان کی نگرانی کریں,General announcements (GA),
GA-11,Do not run or climb on any of the park's structures or attractions.,پارک کے کسی بھی ڈھانچے یا پرکشش مقامات پر نہ دوڑیں اور نہ ہی چڑھیں,General announcements (GA),
GA-12,Do not enter restricted areas.,محدود علاقوں میں داخل نہ ہوں۔,General announcements (GA),
GA-13,Do not smoke in non-designated areas.,غیر نامزد علاقوں میں سگریٹ نوشی نہ کریں۔,General announcements (GA),
GA-14,Do not litter.,گندگی نہ کریں.,General announcements (GA),
GA-15,Use the trash cans provided.,فراہم کردہ کوڑے دان کا استعمال کریں۔,General announcements (GA),
GA-16,Keep your personal belongings with you at all times.,اپنا ذاتی سامان ہر وقت اپنے ساتھ رکھیں۔,General announcements (GA),
GA-17,Do not leave valuables unattended.,قیمتی اشیاء کو بغیر توجہ کے مت چھوڑیں۔,General announcements (GA),
,,,,
WR-01,Visitors should weight above (number)kg,زائرین کا وزن (number) کلوگرام سے زیادہ ہونا چاہیے۔,Weight restrictions (WR),
WR-02,Visitors should weight below (number)kg,زائرین کا وزن (number) کلوگرام سے کم ہونا چاہیے۔,Weight restrictions (WR),
,,,,
AR-01,Visitors should age above (number),زائرین کی عمر (number) سے زیادہ ہونی چاہیے,Age restrictions (AR),
AR-02,Visitors should age below (number),زائرین کی عمر (number) سے کم ہونی چاہیے,Age restrictions (AR),
,,,,
HeiR-01,Visitors should height above (number)cm,,Height restrictions (HeiR),
HeiR-02,Visitors should height below (number)cm,,Height restrictions (HeiR),
,,,,
PG-01,Please refrain from using flash photography on the ride.,براہ کرم سواری پر فلیش فوٹو گرافی استعمال کرنے سے گریز کریں۔,Photography guidelines (PG),
PG-02,"Please keep all personal belongings, including cameras and phones, secured during the ride.",براہ کرم سواری کے دوران تمام ذاتی سامان بشمول کیمرے اور فون کو محفوظ رکھیں۔,Photography guidelines (PG),
PG-03,Please do not take photos or videos of the ride while it is in motion.,براہ کرم جب سواری چل رہی ہو تو اس کی تصاویر یا ویڈیوز نہ لیں۔,Photography guidelines (PG),
,,,,
F&B-01,Please do not bring outside food or beverages into the park.,براہ کرم باہر کا کھانا یا مشروبات پارک میں نہ لائیں۔,Food and beverage instructions (F&B),
F&B-02,Please be mindful of your surroundings when consuming food and beverages.,کھانے اور مشروبات کا استعمال کرتے وقت اپنے اردگرد کے ماحول کا خیال رکھیں۔,Food and beverage instructions (F&B),
F&B-03,Please dispose of all food and beverage containers in the appropriate trash receptacles.,براہ کرم کھانے اور مشروبات کے تمام کنٹینرز کو مناسب کوڑے دان میں ٹھکانے لگائیں۔,Food and beverage instructions (F&B),
,,,,
L&F-01,"If you have lost a personal item, please visit the lost and found office located at the [location].",اگر آپ کی کوئی ذاتی چیز گم ہو گئی ہے، تو براہ کرم [location] پر واقع گمشدہ اور پائے جانے والے دفتر پر جائیں۔,Lost and found (L&F),entrance
L&F-02,"If you find a lost item, please give to the park employees or bring it to the lost and found office.",اگر آپ کو کوئی گمشدہ چیز مل جائے تو براہ کرم پارک کے ملازمین کو دیں یا اسے گمشدہ اور مل گئی دفتر میں لے آئیں۔,Lost and found (L&F),
,,,,
WA-01,Please be aware that rides may close temporarily due to inclement weather.,براہ کرم آگاہ رہیں کہ خراب موسم کی وجہ سے سواریاں عارضی طور پر بند ہو سکتی ہیں۔,Weather-related announcements (WA),
WA-02,"In the event of lightning, all rides will be temporarily suspended for the safety of our guests.",آسمانی بجلی گرنے کی صورت میں، ہمارے مہمانوں کی حفاظت کے لیے تمام سواریوں کو عارضی طور پر معطل کر دیا جائے گا۔,Weather-related announcements (WA),
,,,,
SE&S-01,Rember to join the [show/activity] in the evening,شام کو [show/activity] میں شامل ہونا یاد رکھیں,Special events and shows (SE&S),"fireworks, dolphine show, "
SE&S-02,"Please be aware that seating for our shows is first-come, first-served.",براہ کرم آگاہ رہیں کہ ہمارے شوز کے لیے بیٹھنے کی جگہ پہلے آئیے، پہلے پائیے۔,Special events and shows (SE&S),
SE&S-03,Please do not block walkways or obstruct the view of other guests during the show.,براہ کرم شو کے دوران واک ویز کو بلاک نہ کریں یا دوسرے مہمانوں کے نظارے میں رکاوٹ نہ ڈالیں۔,Special events and shows (SE&S),
,,,,
QI-01,Please keep the line moving and fill in all available spaces.,براہ کرم لائن کو حرکت میں رکھیں اور تمام دستیاب جگہوں کو پُر کریں۔,Queue instructions (QI),
QI-02,Please do not cut in line. Guests who cut in line will be asked to line-up again.,براہ کرم لائن میں نہ کاٹیں۔ جو مہمان قطار میں کاٹتے ہیں ان سے دوبارہ لائن لگانے کو کہا جائے گا۔,Queue instructions (QI),
QI-03,Please do not save spots in line for others who are not present.,براہ کرم دوسروں کے لیے لائن میں جگہوں کو محفوظ نہ کریں جو موجود نہیں ہیں۔,Queue instructions (QI),
,,,,
EmI-01,"In the event of an emergency, please follow the instructions of the park staff.",ہنگامی صورت حال میں، براہ کرم پارک کے عملے کی ہدایات پر عمل کریں۔,Emergency instructions (EmI),
EmI-02,Please remain calm and stay in your current location until further instructions are given,براہ کرم پرسکون رہیں اور جب تک مزید ہدایات نہیں دی جاتیں اپنے موجودہ مقام پر رہیں,Emergency instructions (EmI),
EmI-03,"If you require medical assistance, please alert the nearest park staff member immediately.",اگر آپ کو طبی امداد کی ضرورت ہو تو، براہ کرم قریبی پارک کے عملے کے ممبر کو فوری طور پر آگاہ کریں۔,Emergency instructions (EmI),
EmI-04,Please exit the park in an orderly fashion during an emergency evacuation.,ہنگامی انخلاء کے دوران براہ کرم منظم انداز میں پارک سے باہر نکلیں۔,Emergency instructions (EmI),
,,,,
HygR-01,Please wear a face mask if you are sick.,اگر آپ بیمار ہیں تو براہ کرم چہرے کا ماسک پہنیں۔,Hygiene recommendations (HygR),
HygR-02,Wash your hands frequently and use hand sanitizer when available.,اپنے ہاتھ بار بار دھوئیں اور دستیاب ہونے پر ہینڈ سینیٹائزر استعمال کریں,Hygiene recommendations (HygR),
HygR-03,Cover your mouth and nose with a tissue or your elbow when coughing or sneezing.,کھانستے یا چھینکتے وقت اپنے منہ اور ناک کو ٹشو یا اپنی کہنی سے ڈھانپیں,Hygiene recommendations (HygR),